paper_index	authors	title
8001ED34	chiranjib bhattacharyya + alexander j smola + pannagadatta k shivaswamy	Second Order Cone Programming Approaches for Handling Missing and Uncertain Data
8105E459	michal aharon + michael elad	Image Denoising Via Learned Dictionaries and Sparse representation
7EFB27D7	deepak kumar verma + rajesh p n rao	Planning and Acting in Uncertain Environments using Probabilistic Inference
8072D89C	qing wang + sergio verdu + sanjeev r kulkarni	A Nearest-Neighbor Approach to Estimating Divergence between Continuous Random Vectors
7D810A34	francis r bach + michael i jordan	Predictive low-rank decomposition for kernel methods
7E70DF37	eero p simoncelli	Vision and the statistics of the visual environment
77C6702B	lucia colombo + patrick o brown + stephen j lupker	Strategic control in a naming task: Changing routes or changing deadlines?
776DB07B	andrew y ng + yoram singer + shai shalevshwartz	Online and batch learning of pseudo-metrics
5A20CA87	john c platt	Fast training of support vector machines using sequential minimal optimization
6115F865	david mcallester	PAC-Bayesian Stochastic Model Selection
7A2EF9F5	kenneth w church + ping li	A Sketch Algorithm for Estimating Two-Way and Multi-Way Associations
78BFAEE9	m m salpeter + e e salpeter + joel r stiles + thomas m bartol + d van helden	Miniature endplate current rise times less than 100 microseconds from improved dual recordings can be modeled with passive acetylcholine diffusion from a synaptic vesicle
5BC6EC36	stefano soatto + eagle jones + gianfranco doretto	Spatially Homogeneous Dynamic Textures
05A30183	carlos guestrin + mark a paskin + j a mcfadden	A robust architecture for inference in sensor networks
5D0F00D4	quaid morris	Recognition networks for approximate inference in BN20 networks
0C0D2740	ahmed abdelwahab + ian t jolliffe	Springer series in statistics
8040FA63	richard s sutton + andrew g barto	Time-derivative models of Pavlovian reinforcement
79314803	geoffrey e hinton + ilya sutskever	Deep, narrow sigmoid belief networks are universal approximators
8109697B	bernt schiele + bastian leibe + ales leonardis	Combined Object Categorization and Segmentation With an Implicit Shape Model
766EB39C	john canny	GaP: a factor model for discrete data
5BD2F011	thorsten joachims	Learning to Classify Text using Support Vector Machines
7E313885	eric p xing + andrew y ng + michael i jordan + stuart russell	Distance Metric Learning with Application to Clustering with Side-Information
77CE9D71	david pollard	Convergence of stochastic processes
7DD7ABDC	john lafferty + guy lebanon	Conditional Models on the Ranking Poset
76B3198E	iead rezek + stephen j roberts + richard m everson	Maximum certainty data partitioning
6409AE20	jerome h friedman	Greedy function approximation: A gradient boosting machine.
7DEBBC59	hajime hirase + kenneth d harris + gyorgy buzsaki + george dragoi + jozsef csicsvari	Organization of cell assemblies in the hippocampus
7B018A2E	t w anderson	An introduction to multivariate statistical analysis
7E96EE77	richard kempter + wulfram gerstner + j l van hemmen	Hebbian learning and spiking neurons
7FB4E66E	kevin murphy + xiang xuan	Modeling changing dependency structure in multivariate time series
8166A46D	thomas p minka	Inferring a Gaussian distribution
7E4FF226	franz josef och + hermann ney	The Alignment Template Approach to Statistical Machine Translation
0C1A4B01	hoifung poon + pedro domingos	Sound and efficient inference with probabilistic and deterministic dependencies
765E7E7C	laurent itti	Quantifying the contribution of low-level saliency to human eye movements in dynamic scenes
79572073	christopher m dobson	Chemical space and biology
77D49EFA	n a smith + mark h johnson	Weighted and probabilistic context-free grammars are equally expressive
5A8D1A80	adam j grove + russell greiner + dan roth	Learning cost-sensitive active classifiers
59D12796	joachim weickert + christoph schnorr + florian tischhauser + daniel cremers	Diffusion Snakes: Introducing Statistical Shape Knowledge into the Mumford-Shah Functional
7CDEDD68	richard l didday	A model of visuomotor mechanisms in the frog optic tectum
00E48561	s rosenberg	The Laplacian on a Riemannian Manifold
5944B7E6	yeewhye teh + michael i jordan + matthias seeger	Semiparametric Latent Factor Models
7F4681AD	pradeep ravikumar + john lafferty + han liu + larry wasserman	SpAM: Sparse Additive Models
778F66E4	f d murnaghan	The Analysis of the Kronecker Product of Irreducible Representations of the Symmetric Group
7C6D83FC	richard zens + hermann ney + evgeny matusov	Symmetric word alignments for statistical machine translation
7AC7D1A4	ch neuper + gert pfurtscheller + m pregenzer + doris flotzinger	EEG-based discrimination between imagination of right and left hand movement.
7F7F4501	neil d b bruce + john k tsotsos	Saliency Based on Information Maximization
7D12D92A	william t freeman + yair weiss	On the optimality of solutions of the max-product belief-propagation algorithm in arbitrary graphs
7F634BE3	daphne koller + ben taskar + pieter abbeel	Discriminative probabilistic models for relational data
7908AA0C	sheila nirenberg + peter e latham	Decoding neuronal spike trains: How important are correlations?
7D7EA73A	kwabena boahen + john v arthur	Learning in Silicon: Timing is Everything
7F96093B	kristen grauman + raquel urtasun + trevor darrell + ashish kapoor	Active Learning with Gaussian Processes for Object Categorization
8004B84B	anthony j bell + lucas c parra	Maximising Sensitivity in a Spiking Network
5C2A9D5E	martin a giese + tomaso poggio	Morphable Models for the Analysis and Synthesis of Complex Motion Patterns
80D56E67	takeo kanade + richard szeliski + larry matthies	Incremental estimation of dense depth maps from image sequences
7DE65345	liam paninski	Maximum likelihood estimation of cascade point-process neural encoding models
80872980	minghua deng + michael s waterman + ting chen + kui zhang + fengzhu sun	A dynamic programming algorithm for haplotype block partitioning
7C368D8B	andrew heathcote + scott brown	A Ballistic Model of Choice Response Time.
7EE3F503	wheeler ruml	Constructing Distributed Representations Using Additive Clustering
7EF6BE8C	ramakrishnan srikant + johannes gehrke + alexandre evfimievski	Limiting privacy breaches in privacy preserving data mining
7EFD2566	xuanlong nguyen + martin j wainwright + michael i jordan	On Divergences, Surrogate Loss Functions, and Decentralized Detection
7D804F8A	philip wolfe + george b dantzig	Decomposition Principle for Linear Programs
7E604D9B	donald geman + yali amit	Shape quantization and recognition with randomized trees
59A36E9F	ron kimmel + vicent caselles + guillermo sapiro	Geodesic Active Contours
7D45DC63	bhaskar d rao + david wipf + jason a palmer	Perspectives on sparse bayesian learning
0B9F141C	amnon shashua	Trilinear tensor: The fundamental construct of multiple-view geometry and its applications
80D6D8EE	kenji doya	Metalearning and neuromodulation
7D6E0201	vicenc gomez + vicente lopez + andreas kaltenbrunner	Phase Transition and Hysteresis in an Ensemble of Stochastic Spiking Neurons
800246B4	manfred k warmuth + jyrki kivinen + david haussler	Sequential prediction of individual sequences under general loss functions
7E9C9008	sanjiv kumar + hebert	Discriminative random fields: a discriminative framework for contextual interaction in classification
75942FD9	doug beeferman + adam berger	Agglomerative clustering of a search engine query log
7CA659A1	ying nian wu + donald b rubin + chunhu liu	Parameter expansion to accelerate EM: the PX-EM algorithm
8049D71D	pietro perona + lihi zelnikmanor	Self-Tuning Spectral Clustering
71C4E1E6	prithviraj sen + lise getoor	Link-based Classification
75D8E101	tamsen e taylor + stephen j lupker	Sequential effects in naming: A time-criterion account.
7D3C36A7	yoram singer + jitendra malik + andrea frome	Image Retrieval and Classification Using Local Distance Functions
7DFAFD85	ian t jolliffe + m t uddin + nickolay t trendafilov	A modified principal component technique based on the LASSO
7663F376	risto j ilmoniemi + martti kesaniemi + elena v antonova + klaus linkenkaerhansen + vadim v nikouline + juha huttunen + heidi wikstrom	Dynamics of mu-rhythm suppression caused by median nerve stimulation: a magnetoencephalographic study in human subjects.
04F00A49	manfred morari + carlos e garcia + david m prett	MODEL PREDICTIVE CONTROL: THEORY AND PRACTICE
7523A47D	thomas p hayes + varsha dani	Robbing the bandit: less regret in online geometric optimization against an adaptive adversary
65D163EB	d cossock + tong zhang	Subset ranking using regression
6F75A518	matthew j beal + nebojsa jojic + hagai attias	Audio-Video Sensor Fusion with Probabilistic Graphical Models
79827FED	k j stratford + rodney j douglas + k a martin + misha a mahowald	The role of synapses in cortical computation.
780D4E87	michael aupetit + thibaud catz	High-dimensional labeled data analysis with topology representing graphs
79EC0C91	alan edelman + s t smith + tomas a arias	The Geometry of Algorithms with Orthogonality Constraints
7DC038C3	hugh durrantwhyte + john j leonard	Mobile robot localization by tracking geometric beacons
7E9D1D1D	s v n vishwanathan + alexander j smola	Fast kernels for string and tree matching
5AECAF2B	ralf herbrich + hugo zaragoza + j s kandola + john shawetaylor + yaoyong li	The Perceptron Algorithm with Uneven Margins
810266B9	roger levy	Expectation-based syntactic comprehension
5CEA9187	simon j godsill + ali taylan cemgil	Probabilistic phase vocoder and its application to interpolation of missing values in audio signals
7F36433E	aleix m martinez + avinash c kak	PCA versus LDA
7E441FB7	thorsten joachims + matthew schultz	Learning a Distance Metric from Relative Comparisons
7786ADA9	franco p preparata + michael ian shamos	Computational geometry: an introduction
7CA9DE4F	frank critchley	Influence in principal components analysis
7BC53D83	lev goldfarb	A unified approach to pattern recognition
74455F68	jitendra malik + jianbo shi	Motion segmentation and tracking using normalized cuts
7401AC94	kwabena adu boahen	Retinomorphic vision systems : reverse engineering the vertebrate retina
81740EF1	xiaohai sun + bernhard scholkopf + dominik janzing + kenji fukumizu	A kernel-based causal learning algorithm
5987B6FF	cristina rico garcia + j a moreno	Kernel Based Method for Segmentation and Modeling of Magnetic Resonance Images
7F762329	max welling + geoffrey e hinton + simon osindero	Learning Sparse Topographic Representations with Products of Student-t Distributions
7B915910	arkadii s nemirovski + anatoli juditsky	Functional aggregation for nonparametric regression
7548879F	charles antoniak	Mixtures of Dirichlet Processes with Applications to Bayesian Nonparametric Problems
76952237	klausrobert muller + guido dornhege + stefan harmeling + frank c meinecke + david m j tax	From outliers to prototypes: Ordering data
7DAF404D	robert schrag + roberto j bayardo	Using CSP look-back techniques to solve real-world SAT instances
5A5B4F06	nicolas meuleau + paul bourgine	Exploration of Multi-State Environments: Local Measures and Back-Propagation of Uncertainty
7CB8D50D	pierre bremaud	Point processes and queues, martingale dynamics
03A234E7	ben tse + andrew y ng + adam coates + eric liang + varun ganapathi + mark diel + eric h berger	Inverted Autonomous Helicopter Flight via Reinforcement Learning
7F4E3D36	thomas deselaers + hermann ney + christian gollan + daniel keysers	Deformation Models for Image Recognition
7600BD57	steven j phillips + miroslav dudik + robert e schapire	A maximum entropy approach to species distribution modeling
071FB46F	robert m haralick	Texture features for image classification
7EC8C395	noam slonim + naftali tishby	Data Clustering by Markovian Relaxation and the Information Bottleneck Method
7E70765E	christoph bregler + aaron hertzmann + lorenzo torresani	Nonrigid Structure-from-Motion: Estimating Shape and Motion with Hierarchical Priors
7EB6B6E5	olivier chapelle + christian j walder + bernhard scholkopf	Implicit Surface Modelling with a Globally Regularised Basis of Compact Support
5F34EB59	justin a boyan	Least-Squares Temporal Difference Learning
7E132305	alon orlitsky + sajama sajama	Semi-parametric Exponential Family PCA
80886722	jeffrey s perry + wilson s geisler	Gaze-contingent real-time simulation of arbitrary visual fields
0A5D99DD	thomas p minka	Discriminative models, not discriminative training
7DAC50E1	jitendra malik + jan puzicha + serge belongie	Shape Context: A New Descriptor for Shape Matching and Object Recognition
7F933256	stephen g lisberger + leslie c osborne + william bialek	Time Course of Information about Motion Direction in Visual Area MT of Macaque Monkeys
7A62C16D	howard eichenbaum	The hippocampus and declarative memory: cognitive mechanisms and neural codes
5FA4073D	kristin p bennett + erin j bredensteiner	Duality and Geometry in SVM Classifiers
7CAEBB09	tong zhang	Solving large scale linear prediction problems using stochastic gradient descent algorithms
713A6BDB	h k riis + philipp hafliger	Spike based learning with weak multi-level static memory
5C756A84	matthew brand	Pattern discovery via entropy minimization
76B82408	john e lisman + nelson spruston	Postsynaptic depolarization requirements for LTP and LTD: a critique of spike timing-dependent plasticity
80DFD33D	jason weston + ronan collobert + fabian sinz + leon bottou	Trading convexity for scalability
62076827	thomas hofmann + daniel gildea	Topic-based language models using EM
7C8A01BF	paul l zador	Asymptotic quantization error of continuous signals and the quantization dimension
599F338D	jeffrey p bradford + carla e brodley + clifford a brunk + ron kohavi + clayton kunz	Pruning Decision Trees with Misclassification Costs
77557254	janet b jonesoliveira + colin g bailey + joseph s oliveira + dean w gull + david a dixon	Hyperdigraph-Theoretic Analysis of the EGFR Signaling Network: Initial Steps Leading to GTP:Ras Complex Formation
7FCE0450	andrea davella + emilio bizzi	Shared and specific muscle synergies in natural motor behaviors
809DCDA2	b j mcneil + james a hanley	The meaning and use of the area under a receiver operating characteristic (ROC) curve.
7E269B85	jesse hoey + pascal poupart + kevin regan + nikos a vlassis	An analytic solution to discrete Bayesian reinforcement learning
58EF29EE	nina kowalski + shihab a shamma + didier a depireux	Analysis of dynamic spectra in ferret primary auditory cortex
5A8F5CDC	edward h adelson + yair weiss	Slow and Smooth: A Bayesian theory for the combination of local motion signals in human vision
8065F242	john r anderson	The Adaptive Nature of Human Categorization.
5C6BD39B	carl edward rasmussen	Evaluation of gaussian processes and other methods for non-linear regression
5E391BE8	michinari momma + kristin p bennett	Sparse Kernel Partial Least Squares Regression
7CC309BF	ian soboroff	Dynamic test collections: measuring search effectiveness on the live web
812B2D59	olivier chapelle + jan eichhorn + navneet dalal + frederic jurie + jianguo zhang + bill triggs + gyuri dorko + cordelia schmid + diane larlus + christopher k i williams + moray allan + amos storkey + thomas l griffiths + luc van gool + jorma laaksonen + ville viitaniemi + markus koskela + jason farquhar + hongying meng + john shawetaylor + sandor szedmak + chris bishop + andrew zisserman + mark everingham + hermann ney + thomas deselaers + daniel keysers + ilkay ulusoy + christophe garcia + stefan duffner + bernt schiele + bastian leibe + mario fritz + edgar seemann	The 2005 PASCAL visual object classes challenge
65A55D39	yang dai + osamu watanabe + jose l balcazar	A Random Sampling Technique for Training Support Vector Machines
5EA57060	joshua b tenenbaum + charles c kemp + thomas l griffiths	Discovering Latent Classes in Relational Data
7CDAF5B9	dean o smith + hanns hatt	Synaptic depression related to presynaptic axon conduction block.
7C6B2EC4	ake bjoerck + gene h golub	Numerical methods for computing angles between linear subspaces
5B1AF158	adrian m whatley + rodney j douglas + stephen r deiss	A pulse-coded communications infrastructure for neuromorphic systems
0B1C1612	m trensch + p saltiel avella + emilio bizzi	Modular organization of spinal motor systems
7FB0033F	francis r bach + michael i jordan	Thin Junction Trees
75B8A1F2	natale stucchi + paolo viviani	BIOLOGICAL MOVEMENTS LOOK UNIFORM - EVIDENCE OF MOTOR-PERCEPTUAL INTERACTIONS
766EACC2	j van campenhout + dirk stroobandt + benjamin schrauwen + d verstraten	Isolated word recognition with the liquid state machine : a case study
77C79E05	r d durbin	Biological sequence analysis : probabilistic models of proteins and nucleic acids
7D3F72E2	manfred opper + lehel csato	Sparse Online Gaussian Processes
7DD4DB4F	francisco pereira + geoffrey j gordon	The support vector decomposition machine
7D2F71E1	peter a sandon	Simulating visual attention
7DA710AE	pavel pudlak + noga alon	Equilateral Sets in ...
7FAB958D	ronan collobert	Large Scale Machine Learning
784FB8FD	e t jaynes	On the rationale of maximum-entropy methods
7F08FF3F	pascal fua + pascal lagger + vincent lepetit	Randomized trees for real-time keypoint recognition
7FDFEC56	yuan qi + rosalind w picara + thomas p minka	Bayesian spectrum estimation of unevenly sampled nonstationary data
7F762D89	alex pentland + matthew j turk	Eigenfaces for recognition
7DD156BE	anthony j robinson	An application of recurrent nets to phone probability estimation
7D50A972	maxim raginsky + svetlana lazebnik	Estimation of Intrinsic Dimensionality Using High-Rate Vector Quantization
7D5C34B7	olivier chapelle + jason weston + vapnik + bernhard scholkopf + andre elisseeff + becker + klaus obermayer + sebastian thrun	Kernel Dependency Estimation
800B2509	zheng zhao + huan liu + jieping ye	Adaptive Distance Metric Learning for Clustering
5CF13A46	justin a boyan + andrew w moore	Learning evaluation functions to improve optimization by local search
8001198B	daniel b neill + andrew w moore	A Fast Multi-Resolution Method for Detection of Significant Spatial Disease Clusters
7F6AF0F5	chiangjung pu + jose c principe + john g harris	A neuromorphic monaural sound localizer
759B5C83	eugenio culurciello + ralph etiennecummings + kwabena boahen	A biomorphic digital image sensor
7D6284D6	j gordon leishman	Principles of helicopter aerodynamics
79375F47	paul algoet + thomas m cover	A Sandwich Proof of the Shannon-McMillan-Breiman Theorem
750BE6E6	edward c van der meulen + laszlo gyorfi	Density-free convergence properties of various estimators of entropy
7714DB69	mark a hall + eibe frank	A Simple Approach to Ordinal Classification
7DA89024	francis r bach	Consistency of the Group Lasso and Multiple Kernel Learning
